,company,weight,OS,ram,processor,processor_speed,screen_size,screen_type,touch_screen,price,height_resolution,width_resolution
2836,Asus,2.2,Windows,16.0,Intel Core i5,2400.0,15.6,LED,0.0,3786.0,1920.0,1080.0
2838,Acer,1.77,Windows,16.0,Intel Core i7,2400.0,15.6,IPS,0.0,3889.0,1920.0,1080.0
2839,HP,1.65,Windows,16.0,Intel Core i5,2400.0,15.6,IPS,0.0,4830.0,1920.0,1080.0
2840,HP,1.8,Windows,16.0,Intel Core i7,3500.0,16.0,IPS,0.0,6033.0,1920.0,1200.0
2841,Asus,2.5,Windows,32.0,Intel Core i9,2400.0,16.0,LED,0.0,13790.0,2560.0,1600.0
2843,Asus,1.8,Windows,8.0,Intel Core i3,2400.0,15.6,LCD,0.0,2190.0,1920.0,1080.0
2845,Asus,1.75,Windows,32.0,Intel Core i9,2400.0,14.5,OLED,1.0,12890.0,2880.0,1800.0
2848,Asus,2.2,Windows,16.0,Intel Core i7,2400.0,15.6,LCD,0.0,6599.0,1920.0,1080.0
2849,Lenovo,2.5,Windows,16.0,Intel Core i9,2400.0,16.0,IPS,0.0,10646.0,2560.0,1600.0
2850,Asus,1.4,Windows,8.0,Intel Core i3,2400.0,14.0,LCD,0.0,2007.0,1920.0,1080.0
2851,HP,1.27,Windows,16.0,Intel Core i7,2400.0,13.3,IPS,0.0,5990.0,1920.0,1200.0
2856,Asus,2.3,Windows,16.0,Intel Core i7,2400.0,15.6,LCD,0.0,6647.0,2560.0,1440.0
2857,Lenovo,1.65,Windows,8.0,Intel Core i5,2400.0,15.6,LED,0.0,2029.0,1920.0,1080.0
2860,Asus,2.2,Windows,16.0,Intel Core i7,2400.0,15.6,LCD,0.0,6779.0,1920.0,1080.0
2861,Asus,2.2,Windows,32.0,Intel Core i7,2400.0,15.6,LCD,0.0,5983.0,1920.0,1080.0
2863,Asus,1.65,Windows,64.0,AMD Ryzen 9,2400.0,16.0,IPS,0.0,20283.0,2560.0,1600.0
2865,Lenovo,2.5,Windows,32.0,Intel Core i9,2400.0,16.0,IPS,0.0,11456.0,2560.0,1600.0
2866,Asus,1.4,Windows,8.0,Intel Core i3,2400.0,14.0,LCD,0.0,2306.0,1920.0,1080.0
2867,Asus,1.4,Windows,16.0,Intel Core i5,2400.0,14.0,LCD,0.0,2509.0,1920.0,1080.0
2868,Asus,1.8,Windows,16.0,Intel Core i7,2800.0,15.6,OLED,0.0,3499.0,1920.0,1080.0
2870,HP,1.65,Windows,32.0,Intel Core i7,3500.0,15.6,IPS,1.0,8990.0,1920.0,1080.0
2871,Dell,0.96,Windows,32.0,Intel Core i7,2400.0,13.3,LCD,0.0,7890.0,1920.0,1080.0
2874,Acer,2.5,Windows,8.0,Intel Core i7,3500.0,15.6,LCD,0.0,9829.0,1920.0,1080.0
2875,Acer,2.5,Windows,16.0,Intel Core i5,3300.0,15.6,LCD,0.0,5679.0,1920.0,1080.0
2876,Asus,1.8,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,2683.0,1920.0,1080.0
2879,Asus,1.4,Windows,16.0,Intel Core i5,2400.0,14.0,LCD,0.0,2813.0,1920.0,1080.0
2880,Asus,1.8,Windows,16.0,Intel Core i7,2700.0,16.0,OLED,0.0,4354.0,3840.0,2400.0
2882,Lenovo,2.25,Windows,16.0,Intel Core i5,3100.0,15.6,IPS,0.0,3561.0,1920.0,1080.0
2883,Asus,2.0,Windows,16.0,Intel Core i5,3100.0,15.6,LCD,0.0,4026.0,1920.0,1080.0
2884,Asus,1.65,Windows,16.0,AMD Ryzen 7,3200.0,15.6,OLED,0.0,4526.0,1920.0,1080.0
2885,Asus,1.8,Windows,8.0,AMD Ryzen 5,2100.0,15.6,LCD,0.0,1970.0,1920.0,1080.0
2886,Asus,2.0,Windows,8.0,Intel Core i5,3100.0,15.6,LCD,0.0,3890.0,1920.0,1080.0
2887,Asus,1.61,Windows,16.0,Intel Core i7,2800.0,14.0,LCD,1.0,4810.0,1920.0,1080.0
2888,Lenovo,2.25,Windows,16.0,Intel Core i7,3300.0,15.6,IPS,0.0,5148.0,1920.0,1080.0
